	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	operon_name
PA14_59190	30		271.3370280592935	17996.339869281044	17600.0	10.0	36590.0	36580.0
PA14_28250	19		265.694612807043	19104.552631578947	20205.0	10.0	36640.0	36630.0
PA14_13920	7		11.092960588976648	18264.117647058825	20125.0	10.0	36440.0	36430.0
PA14_06900	0		17.3042932415324	18229.39393939394	18065.0	10.0	36140.0	36130.0	PA14_06890-PA14_06900-PA14_06920-PA14_06930
PA14_35720	29		313.354057646662	16991.742424242424	17865.0	10.0	35970.0	35960.0	PA14_35720-PA14_35710
PA14_33980	30		38.5923238871313	17996.339869281044	17600.0	10.0	36590.0	36580.0	PA14_34070-PA14_34050-PA14_34030-PA14_34020-PA14_34010-PA14_34000-PA14_33990-PA14_33980-PA14_33970-PA14_33960-PA14_33940
PA14_54970	34		70.09864372666596	12530.545454545454	4230.0	10.0	34010.0	34000.0	PA14_54980-PA14_54970
PA14_49540	21		111.79715431688899	17949.090909090908	19275.0	10.0	36070.0	36060.0	PA14_49530-PA14_49540
PA14_36860	30		13.13133495248325	17996.339869281044	17600.0	10.0	36590.0	36580.0
PA14_15480	20	merR	416.90966858626155	16061.818181818182	19070.0	10.0	35520.0	35510.0
PA14_48900	10		3.47645410504433	15421.52380952381	14930.0	10.0	35240.0	35230.0	PA14_48930-PA14_48920-PA14_48910-PA14_48900
PA14_49010	33		12.2355428994944	16742.679738562092	13650.0	10.0	36510.0	36500.0	PA14_49010-PA14_49000-PA14_48990-PA14_48980
PA14_27680	23		7.1883128287683355	484.55555555555554	45.0	5.0	1350.0	1345.0	PA14_27680-PA14_27675
PA14_14540	11		347.31578190291344	19164.444444444445	18785.0	10.0	36400.0	36390.0	PA14_14540-PA14_14550
PA14_51200	27		42.651385599610805	17900.641025641027	18390.0	10.0	36630.0	36620.0	PA14_51200-PA14_51190
PA14_46530	18		144.06959629306448	17024.380952380954	17750.0	10.0	35830.0	35820.0
PA14_60020	35		144.0401184281095	18517.904761904763	21730.0	20.0	36560.0	36540.0	PA14_59980-PA14_59990-PA14_60000-PA14_60010-PA14_60020
PA14_35820	28	tnpS	840.9024695145383	17067.88888888889	15215.0	1505.0	35795.0	34290.0	tnpS-PA14_35810-PA14_35800
PA14_22260	33		9.333124817651186	16742.679738562092	13650.0	10.0	36510.0	36500.0	PA14_22260-PA14_22250
PA14_63420	14		14.008027282249898	17863.267973856207	17170.0	10.0	36690.0	36680.0
PA14_36010	27		76.40777713232265	17900.641025641027	18390.0	10.0	36630.0	36620.0	PA14_36030-PA14_36020-PA14_36010
PA14_49860	11		47.133844948814954	19164.444444444445	18785.0	10.0	36400.0	36390.0
PA14_63440	37		18.582742996786152	16886.833333333332	18455.0	40.0	36710.0	36670.0
PA14_61180	36		18.11436105648095	19002.222222222223	17830.0	200.0	32650.0	32450.0
PA14_60060	20		43.356585694125705	16061.818181818182	19070.0	10.0	35520.0	35510.0
PA14_30960	8		34.6008234508987	12549.89010989011	12130.0	10.0	28890.0	28880.0	PA14_30960-PA14_30950-PA14_30940-PA14_30930
PA14_59060	4		24.051633446584244	3354.4761904761904	685.0	10.0	25070.0	25060.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_53580	25		223.675346873096	19249.416666666668	19210.0	10.0	35540.0	35530.0
PA14_59970	7		318.67683463632	18264.117647058825	20125.0	10.0	36440.0	36430.0
PA14_31080	3		4.44019269286172	12484.678362573099	15480.0	10.0	35920.0	35910.0	PA14_31100-PA14_31090-PA14_31080-PA14_31070-PA14_31060-PA14_31050
PA14_10400	16		3.9089476550261795	6107.3538461538465	620.0	10.0	32180.0	32170.0
PA14_43250	17		56.8682695975634	18373.333333333332	17970.0	10.0	35990.0	35980.0
PA14_44090	27		21.630130216549446	17900.641025641027	18390.0	10.0	36630.0	36620.0
PA14_59900	16		35.50520754572264	6107.3538461538465	620.0	10.0	32180.0	32170.0	PA14_59860-PA14_59870-PA14_59880-PA14_59890-PA14_59900-PA14_59910-PA14_59920-PA14_59930-PA14_59940-PA14_59950-PA14_59960
